"ISO3","Country","Year","Survey","Indicator","Admin","Region_Name","Mean","Median","Lower_CI","Upper_CI","Width_90_CI","Coefficient_of_Variation"
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",2,"Western Province_Rusizi",0.509,0.5113,0.4469,0.5647,0.1178,0.0744
"RWA","Rwanda",2019,"RW2019DHS","FP_CUSM_W_MOD",2,"Western Province_Rutsiro",0.5568,0.5571,0.508,0.6006,0.09257,0.06377
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",1,"City of Kigali",0.454,0.454,0.3925,0.5169,0.1244,0.08374
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",1,"Eastern Province",0.459,0.459,0.4301,0.4882,0.05813,0.03854
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",1,"Northern Province",0.4822,0.4822,0.4393,0.5255,0.08622,0.05449
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",1,"Southern Province",0.5112,0.5112,0.4786,0.5436,0.06506,0.04052
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",1,"Western Province",0.4555,0.4555,0.4177,0.4937,0.07602,0.05084
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",2,"City of Kigali_Gasabo",0.4494,0.4473,0.3691,0.5357,0.1666,0.114
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",2,"City of Kigali_Kicukiro",0.468,0.4691,0.3895,0.5468,0.1573,0.1045
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",2,"City of Kigali_Nyarugenge",0.4626,0.4621,0.3866,0.5381,0.1515,0.1029
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",2,"Eastern Province_Bugesera",0.3727,0.3734,0.2914,0.4516,0.1603,0.1313
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",2,"Eastern Province_Gatsibo",0.5235,0.5227,0.4851,0.5641,0.07899,0.05112
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",2,"Eastern Province_Kayonza",0.4369,0.437,0.3672,0.5048,0.1376,0.09688
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",2,"Eastern Province_Kirehe",0.4609,0.4605,0.383,0.5402,0.1572,0.1066
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",2,"Eastern Province_Ngoma",0.464,0.4639,0.3997,0.5281,0.1284,0.08612
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",2,"Eastern Province_Nyagatare",0.4943,0.4929,0.4296,0.56,0.1305,0.0792
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",2,"Eastern Province_Rwamagana",0.4932,0.4923,0.4198,0.5661,0.1463,0.09119
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",2,"Northern Province_Burera",0.5365,0.5355,0.4532,0.6228,0.1696,0.1094
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",2,"Northern Province_Gakenke",0.5589,0.5605,0.4747,0.642,0.1672,0.1179
"RWA","Rwanda",2019,"RW2019DHS","RH_ANCN_W_N4P",2,"Northern Province_Gicumbi",0.3755,0.3744,0.3104,0.4404,0.13,0.1062
