"ISO3","Country","Year","Survey","Indicator","Admin","Region_Name","Mean","Median","Lower_CI","Upper_CI","Width_90_CI","Coefficient_of_Variation"
"NGA","Nigeria",2018,"NG2018DHS","RH_DELP_C_PUT",2,"Borno_Dikwa",0.2785,0.2588,0.1002,0.5132,0.413,0.5018
"NGA","Nigeria",2018,"NG2018DHS","RH_DELP_C_PUT",2,"Borno_Gubio",0.1751,0.1658,0.08477,0.2958,0.211,0.3971
"NGA","Nigeria",2018,"NG2018DHS","RH_DELP_C_PUT",2,"Borno_Guzamala",0.2403,0.2201,0.09418,0.4565,0.3623,0.5124
"NGA","Nigeria",2018,"NG2018DHS","RH_DELP_C_PUT",2,"Borno_Gwoza",0.247,0.2278,0.08899,0.4544,0.3655,0.504
"NGA","Nigeria",2018,"NG2018DHS","RH_DELP_C_PUT",2,"Borno_Hawul",0.1706,0.1621,0.08618,0.282,0.1958,0.3731
"NGA","Nigeria",2018,"NG2018DHS","RH_DELP_C_PUT",2,"Borno_Jere",0.3302,0.3277,0.2586,0.4065,0.1479,0.1387
"NGA","Nigeria",2018,"NG2018DHS","RH_DELP_C_PUT",2,"Borno_Kaga",0.1871,0.174,0.08382,0.3405,0.2567,0.4629
"NGA","Nigeria",2018,"NG2018DHS","RH_DELP_C_PUT",2,"Borno_Kala Balge",0.284,0.258,0.0908,0.557,0.4662,0.5665
"NGA","Nigeria",2018,"NG2018DHS","RH_DELP_C_PUT",2,"Borno_Konduga",0.2417,0.2293,0.1129,0.4151,0.3022,0.4076
"NGA","Nigeria",2018,"NG2018DHS","RH_DELP_C_PUT",2,"Borno_Kukawa",0.1916,0.1901,0.1612,0.2266,0.06543,0.1053
"NGA","Nigeria",2018,"NG2018DHS","RH_DELP_C_PUT",2,"Borno_Kwaya Kusar",0.2438,0.2311,0.0826,0.4638,0.3812,0.4996
"NGA","Nigeria",2018,"NG2018DHS","RH_DELP_C_PUT",2,"Borno_Mafa",0.4215,0.4199,0.3496,0.4978,0.1482,0.1082
"NGA","Nigeria",2018,"NG2018DHS","RH_DELP_C_PUT",2,"Borno_Magumeri",0.2473,0.2257,0.09663,0.4704,0.3738,0.5013
