"ISO3","Country","Year","Survey","Indicator","Admin","Region_Name","Mean","Median","Lower_CI","Upper_CI","Width_90_CI","Coefficient_of_Variation"
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Shinyanga_Shinyanga Urban",0.5018,0.5031,0.3267,0.6621,0.3354,0.2024
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Simiyu_Bariadi",0.3721,0.3662,0.204,0.5673,0.3633,0.3031
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Simiyu_Busega",0.3807,0.3762,0.2454,0.5354,0.29,0.2337
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Simiyu_Itilima",0.3724,0.3684,0.1856,0.5975,0.4119,0.3457
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Simiyu_Lake Eyasi",0.3597,0.3461,0.1591,0.5963,0.4371,0.3862
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Simiyu_Lake Victoria",0.3611,0.3516,0.1626,0.5953,0.4328,0.3756
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Simiyu_Maswa",0.3218,0.3168,0.154,0.5242,0.3702,0.3542
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Simiyu_Meatu",0.3335,0.3246,0.1708,0.5205,0.3497,0.3281
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Singida_Ikungi",0.3729,0.3728,0.2212,0.5322,0.311,0.251
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Singida_Iramba",0.3898,0.3885,0.3206,0.4653,0.1447,0.1136
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Singida_Manyoni",0.4129,0.4052,0.2332,0.6133,0.3801,0.2794
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Singida_Mkalama",0.4917,0.4919,0.4786,0.5043,0.02568,0.01588
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Singida_Singida Rural",0.3659,0.3644,0.2147,0.5309,0.3161,0.2621
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Singida_Singida Urban",0.316,0.3094,0.163,0.4933,0.3302,0.3329
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Songwe_Ileje",0.4763,0.4724,0.2378,0.7356,0.4978,0.3175
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Songwe_Lake Rukwa",0.4729,0.4665,0.2376,0.7078,0.4703,0.3157
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Songwe_Mbozi",0.4968,0.505,0.2779,0.6978,0.4199,0.2649
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Songwe_Momba",0.5092,0.5122,0.2878,0.7219,0.434,0.2673
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Songwe_Songwe",0.4329,0.4276,0.2168,0.6471,0.4303,0.2995
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Songwe_Tunduma",0.4431,0.4425,0.2965,0.5819,0.2854,0.1932
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Tabora_Igunga",0.5364,0.5378,0.3363,0.7291,0.3929,0.2546
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Tabora_Kaliua",0.4539,0.4509,0.2797,0.6357,0.3561,0.2347
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Tabora_Nzega",0.5164,0.5158,0.3342,0.6909,0.3568,0.2223
"TZA","Tanzania",2022,"TZ2022DHS","CH_DIAT_C_ORT",2,"Tabora_Sikonge",0.397,0.3937,0.264,0.5327,0.2687,0.2016
